Screen ID,Screen Name,GX1 Layout,Task Density,Route,GX1 / Mantine Components
GIN-UI-001,"Secure Login, SSO and MFA",GX1-L6 / authentication pattern,40%,/ginfina/login,GX1-C-SHL-001 App Shell; GX1 authentication controls; TextInput / PasswordInput / PinInput; Alert / Loader; Button
GIN-UI-002,Consultant Profile and Engineering Readiness,GX1-L2 Record Detail,50%,/ginfina/consultants/:consultantId/readiness,GX1-L2 Record Detail; Page Header; Tabs / DataList; Timeline / Badge; Right Rail / Drawer
GIN-UI-003,Engineering Workbench Home,GX1-L4 Executive Dashboard,55%,/ginfina/workbench,GX1-L4 Dashboard; SimpleGrid / Grid; Paper; Badge / Progress; Table / Drawer
GIN-UI-004,"My Work, Reviews and Approvals",GX1-L1 ERP Workbench,60%,/ginfina/my-work,GX1-L1 Workbench; TextInput / Select / MultiSelect; Data grid / Table; Badge / Pagination; Drawer / Menu
GIN-UI-005,Project Register,GX1-L1 ERP Workbench,58%,/ginfina/projects,GX1-L1 Workbench; TextInput / Select / MultiSelect; Data grid / Table; Badge / Pagination; Drawer / Menu
GIN-UI-006,Project Engineering Workspace,GX1-L7 Master-Detail Intelligence,56%,/ginfina/projects/:projectId,GX1-L2 Record Detail; Page Header; Tabs / DataList; Timeline / Badge; Right Rail / Drawer
GIN-UI-007,Site Engineering Context and Location,GX1-L2 Record Detail,48%,/ginfina/projects/:projectId/sites/:siteId,GX1-L2 Record Detail; Page Header; Tabs / DataList; Timeline / Badge; Right Rail / Drawer
GIN-UI-008,Engineering Work Package Register,GX1-L1 ERP Workbench,60%,/ginfina/ewp,GX1-L1 Workbench; TextInput / Select / MultiSelect; Data grid / Table; Badge / Pagination; Drawer / Menu
GIN-UI-009,Create and Baseline Engineering Work Package,GX1-L3 Guided Wizard,50%,/ginfina/ewp/new,GX1-L3 Guided Wizard; Stepper; Fixed-label form controls; Alert / validation summary; Button
GIN-UI-010,Engineering Work Package Control Centre,GX1-L2 + GX1-L7,58%,/ginfina/ewp/:ewpId,GX1-L2 Record Detail; Page Header; Tabs / DataList; Timeline / Badge; Right Rail / Drawer
GIN-UI-011,Issue Engineering Work Order,GX1-L3 Guided Wizard,48%,/ginfina/ewp/:ewpId/ewo/issue,GX1-L2 or L3 form composition; Fixed-label form controls; File/Dropzone where required; Alert / evidence links; Button
