Screen ID,Branch Key,Action,Kind,Mode,Branch Route,Parent Route,BRD,API Contract,Audit Contract
GIN-UI-001,sign-in,Sign in,primary,modal,/ginfina/ui-branch/GIN-UI-001/sign-in,/ginfina/login,F01,POST /auth/login; POST /auth/mfa/verify; GET /me,auth.login.success; auth.login.failure; auth.mfa.challenge
GIN-UI-001,recover-access,Recover access,secondary,drawer,/ginfina/ui-branch/GIN-UI-001/recover-access,/ginfina/login,F01,POST /auth/login; POST /auth/mfa/verify; GET /me,auth.login.success; auth.login.failure; auth.mfa.challenge
GIN-UI-001,switch-authentication-method,switch authentication method,secondary,drawer,/ginfina/ui-branch/GIN-UI-001/switch-authentication-method,/ginfina/login,F01,POST /auth/login; POST /auth/mfa/verify; GET /me,auth.login.success; auth.login.failure; auth.mfa.challenge
GIN-UI-002,submit-readiness-evidence,Submit readiness evidence,primary,page,/ginfina/ui-branch/GIN-UI-002/submit-readiness-evidence,/ginfina/consultants/:consultantId/readiness,"F03, F04",GET/PATCH /consultants/{id}; GET /consultants/{id}/readiness; POST /consultants/{id}/evidence,consultant.profile.updated; consultant.readiness.submitted; consultant.readiness.approved
GIN-UI-002,update-profile,Update profile,secondary,drawer,/ginfina/ui-branch/GIN-UI-002/update-profile,/ginfina/consultants/:consultantId/readiness,"F03, F04",GET/PATCH /consultants/{id}; GET /consultants/{id}/readiness; POST /consultants/{id}/evidence,consultant.profile.updated; consultant.readiness.submitted; consultant.readiness.approved
GIN-UI-002,request-review,request review,secondary,drawer,/ginfina/ui-branch/GIN-UI-002/request-review,/ginfina/consultants/:consultantId/readiness,"F03, F04",GET/PATCH /consultants/{id}; GET /consultants/{id}/readiness; POST /consultants/{id}/evidence,consultant.profile.updated; consultant.readiness.submitted; consultant.readiness.approved
GIN-UI-002,view-nda-status,view NDA status,secondary,drawer,/ginfina/ui-branch/GIN-UI-002/view-nda-status,/ginfina/consultants/:consultantId/readiness,"F03, F04",GET/PATCH /consultants/{id}; GET /consultants/{id}/readiness; POST /consultants/{id}/evidence,consultant.profile.updated; consultant.readiness.submitted; consultant.readiness.approved
GIN-UI-003,open-next-priority-item,Open next priority item,primary,page,/ginfina/ui-branch/GIN-UI-003/open-next-priority-item,/ginfina/workbench,F38,GET /workbench/summary; GET /work-items; GET /approvals,workbench.viewed; workitem.opened
GIN-UI-003,view-my-work,View my work,secondary,drawer,/ginfina/ui-branch/GIN-UI-003/view-my-work,/ginfina/workbench,F38,GET /workbench/summary; GET /work-items; GET /approvals,workbench.viewed; workitem.opened
GIN-UI-003,filter-project,filter project,secondary,drawer,/ginfina/ui-branch/GIN-UI-003/filter-project,/ginfina/workbench,F38,GET /workbench/summary; GET /work-items; GET /approvals,workbench.viewed; workitem.opened
GIN-UI-003,open-blocker,open blocker,secondary,drawer,/ginfina/ui-branch/GIN-UI-003/open-blocker,/ginfina/workbench,F38,GET /workbench/summary; GET /work-items; GET /approvals,workbench.viewed; workitem.opened
GIN-UI-004,open-selected-work-item,Open selected work item,primary,page,/ginfina/ui-branch/GIN-UI-004/open-selected-work-item,/ginfina/my-work,F38,GET /work-items; POST /assignments; POST /escalations,workitem.claimed; workitem.reassigned; workitem.escalated
GIN-UI-004,claim,Claim,secondary,drawer,/ginfina/ui-branch/GIN-UI-004/claim,/ginfina/my-work,F38,GET /work-items; POST /assignments; POST /escalations,workitem.claimed; workitem.reassigned; workitem.escalated
GIN-UI-004,reassign-if-authorised,reassign if authorised,secondary,modal,/ginfina/ui-branch/GIN-UI-004/reassign-if-authorised,/ginfina/my-work,F38,GET /work-items; POST /assignments; POST /escalations,workitem.claimed; workitem.reassigned; workitem.escalated
GIN-UI-004,escalate,escalate,secondary,drawer,/ginfina/ui-branch/GIN-UI-004/escalate,/ginfina/my-work,F38,GET /work-items; POST /assignments; POST /escalations,workitem.claimed; workitem.reassigned; workitem.escalated
GIN-UI-005,open-project,Open project,primary,page,/ginfina/ui-branch/GIN-UI-005/open-project,/ginfina/projects,"F05, F41",GET /projects; POST /integrations/gpropel/projects/sync,project.opened; gpropel.project.sync.requested
GIN-UI-005,refresh-from-gpropel,Refresh from GPROPEL,secondary,drawer,/ginfina/ui-branch/GIN-UI-005/refresh-from-gpropel,/ginfina/projects,"F05, F41",GET /projects; POST /integrations/gpropel/projects/sync,project.opened; gpropel.project.sync.requested
