Screen ID,Module,Screen,Controlled Route,GX1 Layout,Density,BRD,Primary Action,Branch Count
GIN-UI-001,Access and Identity,"Secure Login, SSO and MFA",/ginfina/login,GX1-L6 / authentication pattern,40%,F01,Sign in,3
GIN-UI-002,Access and Identity,Consultant Profile and Engineering Readiness,/ginfina/consultants/:consultantId/readiness,GX1-L2 Record Detail,50%,"F03, F04",Submit readiness evidence,4
GIN-UI-003,Home and Work,Engineering Workbench Home,/ginfina/workbench,GX1-L4 Executive Dashboard,55%,F38,Open next priority item,4
GIN-UI-004,Home and Work,"My Work, Reviews and Approvals",/ginfina/my-work,GX1-L1 ERP Workbench,60%,F38,Open selected work item,4
GIN-UI-005,Projects,Project Register,/ginfina/projects,GX1-L1 ERP Workbench,58%,"F05, F41",Open project,3
GIN-UI-006,Projects,Project Engineering Workspace,/ginfina/projects/:projectId,GX1-L7 Master-Detail Intelligence,56%,"F05, F38, F41",Create engineering work package,4
GIN-UI-007,Projects,Site Engineering Context and Location,/ginfina/projects/:projectId/sites/:siteId,GX1-L2 Record Detail,48%,F06,Confirm site engineering context,3
GIN-UI-008,Engineering Work,Engineering Work Package Register,/ginfina/ewp,GX1-L1 ERP Workbench,60%,"F07, F38",Open selected EWP,4
GIN-UI-009,Engineering Work,Create and Baseline Engineering Work Package,/ginfina/ewp/new,GX1-L3 Guided Wizard,50%,"F07, F48, F49",Create EWP baseline,3
GIN-UI-010,Engineering Work,Engineering Work Package Control Centre,/ginfina/ewp/:ewpId,GX1-L2 + GX1-L7,58%,"F07, F08, F11, F15, F38",Execute next permitted action,5
GIN-UI-011,Engineering Work,Issue Engineering Work Order,/ginfina/ewp/:ewpId/ewo/issue,GX1-L3 Guided Wizard,48%,"F08, F04, F49",Issue EWO,4
GIN-UI-012,Consultant Portal,Consultant EWO Acceptance and Clarification,/ginfina/consultant/ewo/:ewoId,GX1-L6 Portal Self-Service,45%,F09,Accept work order,4
GIN-UI-013,Inputs and Deliverables,Engineering Input Register,/ginfina/ewp/:ewpId/inputs,GX1-L1 ERP Workbench,58%,F11,Add or update engineering input,4
GIN-UI-014,Inputs and Deliverables,Input Readiness and Design Start Gate,/ginfina/ewp/:ewpId/readiness,GX1-L2 Record Detail,45%,F12,Authorise design start,3
GIN-UI-015,Inputs and Deliverables,Engineering RFI and Technical Query,/ginfina/ewp/:ewpId/rfis,GX1-L2 Record Detail,48%,F14,Submit technical query,4
